date,y_true,pred_mean,pred_std,lps,VaR_5%,ES_5%,var_hit
2005-12-27,-1.022858787736869,-0.0363304862220948,0.9497954253986863,-1.5142103403957492,-1.696077004316699,-2.2756400451212437,0
2006-03-10,0.9454528245876226,-0.07142298815893065,0.9638411172565686,-1.4454590935019442,-1.659166768873796,-2.3704971199301323,0
2006-05-22,-0.7661079435087537,0.06455813534300596,0.9012488924998324,-1.2529745281901308,-1.3138889042871518,-1.8968985366444815,0
2006-08-02,0.6736753263141715,0.07500121223133153,0.8581347446636506,-1.0281815943395116,-1.2682136353975506,-1.9065554496552195,0
2006-10-12,0.8622145384216573,0.016055439675343414,0.7907088760900624,-1.3051586585594956,-1.3605829424857776,-1.8239219117415768,0
2006-12-22,-0.6161961162537644,0.03175865257721903,0.731990105560715,-1.126596233487708,-1.2143959026831588,-1.6912640811853534,0
2007-03-09,0.028452155219937936,0.0631459261511102,0.7035752103925913,-0.5011119357252609,-1.1865001404842492,-1.5175987791167935,0
2007-05-21,-0.052405905987917833,0.04107804524917588,0.6706379713886683,-0.5365514374741112,-1.0589963347425626,-1.5227485493604145,0
2007-08-01,0.4860399579595942,0.057154297784542486,0.6653055822692793,-0.6970753650000168,-0.9096662130476294,-1.4322810179222771,0
2007-10-11,-0.4812268744790238,0.007906122987871465,0.7103492443015779,-0.8394913800064031,-1.3355392394441217,-1.6743476414389078,0
2007-12-26,0.21417275379960188,-0.12098670427544934,0.7208907625653509,-0.7034264716356043,-1.2328406427847571,-1.7378641175202638,0
2008-03-10,-1.3270854644051866,0.2499727562883069,0.7474445270952892,-3.1058650701520674,-0.864890555459798,-1.408765048685021,1
2008-05-20,-0.842208543521572,0.01249867293067072,0.7693101443082571,-1.2981703698533529,-1.1587640473402157,-1.7224352712148363,0
2008-07-31,-1.3314714928948312,-0.13509496411690672,0.7712204621890673,-1.8027391848103689,-1.3386033831466042,-1.818397336187314,0
2008-10-10,-2.455464326469592,0.9061616950309088,0.8255090492486414,-9.019919151623531,-0.4705391515315285,-1.0477975585433743,1
2008-12-22,-1.2895384195080517,0.5876583189153188,0.9605119162491618,-2.4943983189122365,-1.0571781823739155,-1.4391747185014292,1
