n_forecasts,mean_lps,total_lps,avg_pred_std,var_hit_rate,expected_var_rate,mean_es,model
117,-3.1627198770143816,-370.0382256106827,1.021463570727048,0.1452991452991453,0.05,-1.6802056020376839,student_t
117,-3.383976800046366,-395.92528560542485,1.0908689334867023,0.10256410256410256,0.05,-2.0960053866802806,gaussian
