date,y_true,pred_mean,pred_std,lps,VaR_5%,ES_5%,var_hit
2005-12-27,-1.022858787736869,0.1071241599014865,1.083256339799027,-1.6350400202639666,-1.6515947506647999,-2.0232086762209684,0
2006-03-10,0.9454528245876226,0.03911509204263347,1.0097610754480686,-1.2328173642014872,-1.6596250517230209,-2.1660140352987205,0
2006-05-22,-0.7661079435087537,0.096838934404814,1.0629535429738701,-1.3863731457946076,-1.6750652781989597,-2.069622168896467,0
2006-08-02,0.6736753263141715,0.17604629029747051,0.940421921032905,-1.0549627895573406,-1.4422285809081528,-1.821584620523474,0
2006-10-12,0.8622145384216573,0.09587242440133024,0.7871795464654959,-1.1357627902222605,-1.3386514446133508,-1.5688932970825915,0
2006-12-22,-0.6161961162537644,-0.05393533427448217,0.7806041791364334,-1.0203178468392466,-1.2751148814720081,-1.702248985937029,0
2007-03-09,0.028452155219937936,0.08331336957798971,0.7355845442516712,-0.6507339253583659,-1.0817393100033361,-1.3561613848678653,0
2007-05-21,-0.052405905987917833,0.050213617960742314,0.6799260378073626,-0.5476938677073355,-1.0597506385761168,-1.3389375025239192,0
2007-08-01,0.4860399579595942,-0.0276722210762739,0.6643710730759504,-0.8103102366028131,-1.038829097193733,-1.478735898514791,0
2007-10-11,-0.4812268744790238,0.03160775376223754,0.8144023805817147,-1.0285813657965375,-1.3764035138206394,-1.612488519013573,0
2007-12-26,0.21417275379960188,-0.0590620556790457,0.7623358319586825,-0.7734512627060225,-1.1329087042156327,-1.5802850995337407,0
2008-03-10,-1.3270854644051866,0.22961329226155988,0.8394640585218426,-2.150246476294506,-1.0734017634460018,-1.242894453571672,1
2008-05-20,-0.842208543521572,0.15019772466511397,0.7842466405067845,-1.4851340200872507,-1.1392665230858554,-1.448105377649436,0
2008-07-31,-1.3314714928948312,-0.15378847557803868,0.8188920295073518,-1.7276815081816876,-1.4952699394970366,-1.9488189641582845,0
2008-10-10,-2.455464326469592,0.6573577058868029,1.1185026285196542,-4.839995892136002,-1.20086189993755,-1.5827929342775444,1
2008-12-22,-1.2895384195080517,1.579459109233019,1.45153466863461,-2.8456079098992815,-0.7340900793123007,-1.1407644273501583,1
2009-03-06,0.17416064854387514,-0.09383275994212038,1.4577691035747935,-1.4800363329658777,-2.3426528073583137,-2.702568080557337,0
2009-05-18,2.8011277857948436,0.002481293975579639,1.5646766196648227,-2.7262379825751473,-2.512508179897407,-3.01544119692415,0
2009-07-29,-0.2455106637890836,0.00885722027585497,1.5926815924779036,-1.3959960964179656,-2.613806047019429,-3.2742332633617544,0
2009-10-08,0.7626498521407399,0.08485389241195973,1.4172291907754369,-1.3994278732819394,-2.281994787460134,-2.9149621362234908,0
2009-12-18,0.5645202467642108,0.23952734582055776,1.506135622555703,-1.4806844020723158,-2.4273899987015346,-3.0935088165745688,0
2010-03-04,0.3022741527400896,-0.1164791577354607,1.5451981321456036,-1.32513467887493,-2.5856062494398984,-2.9737720861978985,0
2010-05-14,-1.8270989078494893,0.6356289772570843,1.5836586810439608,-2.8390401360115542,-2.06530344238181,-2.9703842880890448,0
2010-07-27,-0.008952324402411449,0.2180737554307981,1.6785088837876088,-1.5094370059721787,-2.346916887418861,-2.969429308137891,0
2010-10-06,-0.008632187148283066,-0.37842622160619194,1.6022380481225724,-1.3633856787518248,-3.1863839491847,-3.8271088817468795,0
2010-12-16,0.5785157141762198,0.326550820499891,1.53329991694101,-1.405875197465078,-2.3090122651061185,-2.7171467396971662,0
2011-03-01,-1.6813365735258934,-0.24678900127388695,1.7356154533050134,-1.8737674917363518,-3.073872200012473,-3.4276682655991886,0
2011-05-11,-1.0580510836952328,-0.1276390040446274,1.6024087321107894,-1.6642712145600629,-3.1267835981933962,-3.848131081042266,0
2011-07-22,0.06688916811681267,-0.43027253929764453,1.8472123451894518,-1.7072892849699148,-3.211330713548885,-3.9310135683364855,0
2011-10-03,-2.887076629171137,-0.13279753260725247,2.0168103901217194,-2.621680492991596,-3.363064531425062,-4.48072497969713,0
2011-12-13,-0.9382459857238068,0.27522218768395235,1.83234161669945,-1.7810752153488179,-2.4416025834161275,-3.683319205941738,0
2012-02-27,0.1677886809976492,0.041289381736253586,1.8527435000724426,-1.5879856065703246,-3.088929281153939,-4.137349394902808,0
2012-05-08,-0.4019686531842481,0.17953925821953842,1.8182761199960191,-1.6099054467391878,-2.8146687506962085,-3.6961825513269018,0
2012-07-19,0.26170773035367745,-0.14350705497387511,1.9629439386344136,-1.7397385062324995,-3.458417987597966,-4.029795882939236,0
2012-09-28,-0.5474020121959633,0.34607051223695956,1.7400356093186853,-1.6079531858671237,-2.3759866769459532,-3.250561465847202,0
2012-12-12,0.04879471341583397,-0.005695346385682267,1.72869128375892,-1.5253920020025877,-2.6629392211879184,-3.692618532210041,0
2013-02-26,0.6822330175164204,0.24260063980956498,1.4989127425283486,-1.3393437851992809,-2.4410935324987695,-3.0684581499769767,0
2013-05-08,0.45406771598193174,-0.09573654347504705,1.2291135454006235,-1.3449603269998396,-2.2102340012970734,-2.7394137131729086,0
2013-07-19,0.17753256651786842,0.10264427733606056,1.2641308602191967,-1.078050382039381,-1.9906544581315504,-2.769609892765885,0
2013-09-30,-0.5342703829686712,0.17908136951934964,1.3174692503006973,-1.4263799887968647,-1.9516949571489028,-2.3642461914481814,0
2013-12-10,-0.3589795345213531,0.31080683999346753,1.2607019935257369,-1.3419260089309772,-1.6330830268376173,-2.2282010623532202,0
2014-02-24,0.5531487255118428,-0.1304364479345135,1.1461707024720298,-1.332779184470854,-1.8929426620516134,-2.163172623234234,0
2014-05-06,-0.874215831261349,0.044202839300860594,1.2000950239582322,-1.4017120215506527,-1.8348860270176464,-2.2950330836549986,0
2014-07-17,-1.1430836165849279,0.16691559159630798,1.116863888925574,-1.659129550877563,-1.6146462380701532,-1.892712640575287,0
2014-09-26,0.7913968303114416,0.14437853124427996,1.1422903846413088,-1.2083637712640427,-1.7696864202091827,-2.1857646862785063,0
2014-12-08,-0.6704956971468334,0.009411127412271071,1.120691826330362,-1.1913814203794326,-1.8618864843747935,-2.2687723696293953,0
2015-02-20,0.5978201055567567,-0.08726286834109745,1.1207661765763675,-1.1921301512484825,-1.71649231931101,-2.6491504416812073,0
2015-05-04,0.28435011916299047,-0.11524718262032263,1.2236666007305146,-1.2345937912105573,-2.0925623719870257,-2.65584474382725,0
2015-07-15,-0.04270279118889775,-0.11848830039237508,1.062218707346911,-0.9887566483680762,-1.92653532062093,-2.550622021826914,0
2015-09-24,-0.3466783260833495,0.1281895461204547,0.8088530522178273,-1.0438417283505725,-1.197999050982547,-1.5892260932331683,0
2015-12-04,1.9315315610715977,0.11883466762275187,0.7759791899708667,-3.2889826008467544,-1.0866527324544322,-1.4566209122267293,0
2016-02-18,-0.4104333454496789,0.11606532574323594,0.7781375696453388,-0.9271292864029704,-1.1669960918768203,-1.4490654053989886,0
