date,y_true,pred_mean,pred_std,lps,var_alpha,es_alpha,var_hit
2002-10-21,1.7113451357304577,-0.37662203491268387,1.3863189631078117,-2.172509644292309,-2.3498575667677897,-3.0356230948372804,0
2003-01-02,3.1680867655379252,-0.2738489808622457,1.7473592849285355,-3.56752659001693,-3.1685075351553422,-4.010113061401778,0
2003-03-17,3.1013937149837467,-0.13491756378383674,1.7659875510786058,-2.9899682356123214,-2.81651527065621,-3.7351612114661674,0
2003-05-28,0.2825775583777279,-0.1639984788147211,1.4942503740407418,-1.5125174291158359,-3.0026623821382548,-3.2116817094941212,0
2003-08-08,0.2853693352768083,0.11357353941935593,1.4544401494279862,-1.4282143128714966,-2.131375552788483,-2.3121021834423607,0
2003-10-20,0.7453570302637047,-0.35352435893513706,1.2203614302057277,-1.482344585063007,-2.4461898872361085,-2.8792473023610676,0
2003-12-31,0.08993590652499606,0.27650420941848136,0.8947959057494123,-0.7602971551935799,-1.311074026290872,-1.5453308268804768,0
2004-03-15,-1.2333361805515253,-0.0884749456811519,0.8457776004185836,-1.410384926620073,-1.4202020809222773,-1.4581969749554962,0
2004-05-25,1.4227409345701325,0.31940342635078167,0.8887167169489739,-1.3674595839269346,-1.0086111525662882,-1.5531531692545146,0
2004-08-06,-1.4493874078649327,-0.007232766364597145,0.7461946459711011,-2.1997759021644057,-1.049471271684601,-1.1845482240147358,1
2004-10-18,0.3946910764860867,0.2709520677859624,0.7335107940907623,-0.7013701596215052,-1.059086916073924,-1.3485924451149238,0
2004-12-29,0.14840229079151612,0.21581332170543877,0.6055488841707458,-0.5045507368900614,-0.6693765476851794,-0.958298685476442,0
2005-03-11,-0.7035329655631806,-0.42682607375393244,0.6337571230339163,-0.5186797760484203,-1.4127341866261363,-1.7022447110807173,0
2005-05-23,0.5358367815882836,0.07092916709701153,0.8081522858683894,-0.9533297827462455,-1.2823958780346403,-1.7683436870477625,0
2005-08-04,-0.8049906042239208,0.23697627790643253,0.7669282163062686,-1.371979465861593,-0.8900471132048651,-1.0186089655905783,0
2005-10-14,1.050424030883157,0.05564386794685925,0.6602277152799366,-1.5432798165214312,-1.0565225892906578,-1.2205077598639538,0
2005-12-27,-1.022858787736869,-0.011578376971936954,0.5988190726315018,-1.6822448848507343,-0.961867338927113,-1.1752415598312316,1
2006-03-10,0.9454528245876226,0.05462986440104585,0.5371112624080655,-1.561811659777581,-0.8189155666579399,-0.994163797206587,0
2006-05-22,-0.7661079435087537,-0.034237559384656426,0.7844090866494314,-1.168963649625155,-1.1974010303576617,-1.519680000550218,0
2006-08-02,0.6736753263141715,0.03384082878472634,0.6436863204180263,-1.000707188911447,-0.9705309536948876,-1.20109486939437,0
2006-10-12,0.8622145384216573,0.11073933072838348,0.6916478022437106,-1.1278904462819013,-0.9822844536234373,-1.2277942215643043,0
2006-12-22,-0.6161961162537644,0.04195283039091482,0.6432104251748688,-1.138481865826737,-1.0533578420542602,-1.099530132426333,0
2007-03-09,0.028452155219937936,0.1371717542961705,0.7486512246365681,-0.7246961859775319,-1.0186431936284903,-1.4716521390280979,0
2007-05-21,-0.052405905987917833,0.09629516557242532,0.44176743757988896,-0.2909241997287257,-0.5755859423229871,-0.7303173683739925,0
2007-08-01,0.4860399579595942,-0.21929749378861646,0.6413613832229964,-1.2829877183093044,-1.2003321386981138,-1.2870298517097265,0
2007-10-11,-0.4812268744790238,-0.2319407246575722,1.0450865046565163,-1.1600585334490414,-1.8524332190437949,-2.0621729630784,0
2007-12-26,0.21417275379960188,0.3320785177445434,0.9411996867879086,-0.7012193198002364,-0.9235737458745867,-1.5952402670028742,0
2008-03-10,-1.3270854644051866,-0.20702034922412305,1.3157791050717595,-1.7985227152546204,-2.571279589572021,-2.7803724745292775,0
2008-05-20,-0.842208543521572,0.27681761679684314,1.2346471319270116,-1.4752380312033055,-1.4790897752181549,-1.661976254584818,0
2008-07-31,-1.3314714928948312,0.14701409630985324,1.432148138928372,-1.7832952284457733,-2.054126485482247,-2.6927797229130594,0
2008-10-10,-2.455464326469592,0.3657055905984514,1.5003559378373994,-2.8335301439286034,-2.0773983114245085,-2.4646380714428573,1
2008-12-22,-1.2895384195080517,2.134857295443756,2.334978473092206,-3.1015694089945445,-2.337042687641649,-2.8820828359008197,0
2009-03-06,0.17416064854387514,-0.29861305796848925,3.066769444390367,-2.1195255753895226,-6.3108129356973155,-6.482375767141316,0
2009-05-18,2.8011277857948436,0.7145187291553018,3.0644706886612663,-2.2770486591181984,-3.927562200143102,-4.8949881353084,0
2009-07-29,-0.2455106637890836,-0.13405700972331872,2.5525809624604845,-1.858393546733209,-4.245722540536372,-5.6050439100466605,0
2009-10-08,0.7626498521407399,-0.4122097846493803,1.823408871468852,-1.801396414908056,-3.5845173312742937,-3.9760914696474345,0
2009-12-18,0.5645202467642108,0.04753457224409224,1.505045607604041,-1.2913988522292998,-2.036667925457671,-3.542791960314069,0
2010-03-04,0.3022741527400896,0.24723756222090554,1.024199607800935,-0.985115847048717,-1.2006117551891504,-1.7704136764502294,0
2010-05-14,-1.8270989078494893,0.0363432831977181,0.8506697699115376,-2.6911245005815108,-1.4415689237193587,-1.8030179767231953,1
2010-07-27,-0.008952324402411449,-0.367255066270147,1.0750829302485778,-1.1731344471071077,-2.239228212480171,-2.4123200454162688,0
2010-10-06,-0.008632187148283066,-0.26916402951148566,1.1762100098581818,-1.125127805933371,-2.0091632565081614,-2.371869561081139,0
2010-12-16,0.5785157141762198,0.14196140110367053,1.0503122812611538,-1.23927238511438,-1.6315326798783025,-1.7865348174471645,0
2011-03-01,-1.6813365735258934,0.045211955518372184,1.1448964358644904,-2.309807621773208,-2.143497848236759,-2.5421860629912723,0
2011-05-11,-1.0580510836952328,0.1735274449445849,0.810847749742918,-1.8878432870619546,-1.1053942647122046,-1.6611625615050165,0
2011-07-22,0.06688916811681267,0.16592426357678838,1.630879064679639,-1.562683659829416,-2.860344159991199,-3.3489565986453376,0
2011-10-03,-2.887076629171137,0.2962407479633851,1.9813060022196678,-2.7277977518468384,-3.089574436199407,-3.745498052214547,0
2011-12-13,-0.9382459857238068,0.3824343347306145,2.57017706213448,-1.990842306161737,-3.41151978847288,-4.20971264902174,0
2012-02-27,0.1677886809976492,0.5218386080834395,2.5440361549229875,-2.0547437826969435,-3.8673896210669603,-4.857797624278222,0
2012-05-08,-0.4019686531842481,-0.6054174258096818,1.4743190554005658,-1.3840491953055027,-2.9360078488868595,-4.2207647272618996,0
2012-07-19,0.26170773035367745,-0.15704735867411077,1.2491732228967687,-1.2488630488468804,-2.129931357706843,-2.8203991280778737,0
2012-09-28,-0.5474020121959633,-0.03157663684202284,0.8964075407652485,-1.0145145278220438,-1.3701836965087393,-1.5583085241162877,0
2012-12-12,0.04879471341583397,-0.11689848368213289,0.9747425968615719,-1.1305069164626096,-1.299638106865191,-1.5411256315068902,0
2013-02-26,0.6822330175164204,-0.10503545272734291,0.8100751753370228,-1.1621248815509222,-1.340874018679681,-1.62259038539426,0
2013-05-08,0.45406771598193174,0.10286271027017088,0.6989910011318016,-0.7547602719764693,-0.807783649480765,-1.0479899793142804,0
2013-07-19,0.17753256651786842,-0.001915681557846214,0.8145277056035652,-0.8509115413921097,-1.340647786837914,-1.4662909089142062,0
2013-09-30,-0.5342703829686712,0.20775436175815787,0.5956337500128209,-1.237517664371051,-0.8152770553795714,-1.0711566507057602,0
2013-12-10,-0.3589795345213531,0.09132662837466356,0.7675482846992245,-0.9481314748459775,-1.3408279353920096,-1.4095944001519,0
2014-02-24,0.5531487255118428,0.1061810077466899,0.665619246884925,-0.7878526805579165,-0.8434020521535532,-0.9416141784431495,0
2014-05-06,-0.874215831261349,-0.0034861662481195576,0.6441549571887828,-1.4254392306106747,-1.030675083848298,-1.3894393594123349,0
2014-07-17,-1.1430836165849279,0.055949396173020007,0.6611958606557091,-1.8564106009539707,-0.8997459952743214,-1.087982515914167,1
2014-09-26,0.7913968303114416,0.1818743235860896,0.5582929253506455,-1.0164289787814975,-0.5090945561435744,-0.6445785250038407,0
2014-12-08,-0.6704956971468334,-0.00930350500134781,0.5531747081095315,-1.0836465828058193,-0.8854714918114083,-0.98294808176218,0
2015-02-20,0.5978201055567567,-0.047911596849098556,0.8734722629428936,-1.0982522272082604,-1.3857720472550286,-1.6565825523828537,0
2015-05-04,0.28435011916299047,0.36982122083410074,0.8148052182727548,-0.7206657685047901,-0.8958480021156537,-1.3400555482378917,0
2015-07-15,-0.04270279118889775,-0.35055424274992475,0.7480266615821988,-0.8771375458784902,-1.5888409487553345,-1.8427159777896354,0
2015-09-24,-0.3466783260833495,0.441893734243539,0.9216406606711004,-1.4068628732423587,-1.170403904604434,-1.578789031965789,0
2015-12-04,1.9315315610715977,0.03936068015575248,0.7536018195684188,-3.3171972384355595,-1.2484009820008235,-1.4055728226938655,0
2016-02-18,-0.4104333454496789,0.19792222624057326,0.9781524700735711,-1.3502477582374164,-1.5192007217118355,-1.6704648851978188,0
2016-04-29,-0.5399137661177278,-0.644442262878277,1.0046032295426746,-0.9851790900318302,-2.360124230135624,-2.78059351565647,0
2016-07-12,0.7236982833551231,0.12432057180695485,0.7491307474794708,-1.2062803556910948,-1.0565911197991704,-1.328508150694258,0
2016-09-21,1.1182381232083927,-0.19261494216385555,0.9171705901504732,-1.838269642940101,-1.7186613995768174,-1.9142721996000887,0
2016-12-01,-0.3682049282127231,-0.16949580778982945,0.7283923236904637,-0.8087959011479806,-1.469936501750152,-1.5256296581171631,0
2017-02-14,0.40733787633433494,0.11964637555695683,0.6168644553441303,-0.6949088153861103,-0.7737904509794186,-0.9872402020084262,0
2017-04-27,0.0796673754743793,-0.0425829422976762,0.6194479892881993,-0.5508251355410394,-1.0123955713021582,-1.3362885464980965,0
