model,n_forecasts,mean_lps,mean_VaR_5%,mean_ES_5%,avg_pred_std
mixture,101,-1.9656013713849494,-1.752411944897003,-2.814012012806353,1.1607958817374875
student_t,101,-2.1009742202366035,-1.5624193474687156,-2.1848878472444375,0.9536714985244285
gaussian,101,-2.152557928692275,-1.8486905134049303,-2.33685291044388,1.1719615634484166
sv,101,-2.1808811398732693,-1.3685817928638915,-1.7725921918624803,0.9530577666767615
