date,y_true,pred_mean,pred_std,lps,var_alpha,es_alpha,var_hit
2002-10-21,1.7113451357304577,-0.5686238248953639,1.6195150531924138,-2.6471279920796835,-2.7489361941919648,-3.391482791335178,0
2003-01-02,3.1680867655379252,-0.09616089642266551,1.7367261393545068,-3.0653508663101636,-2.8279193604470647,-3.3126265564163924,0
2003-03-17,3.1013937149837467,0.06406471136865115,1.7971289618157782,-3.078024569930584,-2.5206681482104023,-2.841587462278565,0
2003-05-28,0.2825775583777279,-0.039455192912990274,1.533753807798887,-1.3339307341426032,-2.2403782676613035,-2.667570962627707,0
2003-08-08,0.2853693352768083,-0.17118959468078734,1.4331403670191096,-1.2541036508392238,-2.398357912791478,-2.929605504743836,0
2003-10-20,0.7453570302637047,-0.03139679474202239,1.1826520894092618,-1.4656603850199768,-1.6682043295315874,-2.2724644907780562,0
2003-12-31,0.08993590652499606,0.27116331548892253,0.911791123420081,-0.7494184103322233,-1.0869566351882425,-1.596925062377693,0
2004-03-15,-1.2333361805515253,-0.013809722123901094,0.7651467321486963,-1.810298037649725,-1.1000021443497225,-1.4151618749581962,1
2004-05-25,1.4227409345701325,0.2834180633009951,0.7775229373873063,-1.9602234709625186,-0.8932178978587242,-1.1414653550532032,0
2004-08-06,-1.4493874078649327,0.1809885122364944,0.7616269475677084,-2.7827599716097136,-0.8774431925073012,-1.166647973627126,1
2004-10-18,0.3946910764860867,0.2876519440110079,0.7252588356804331,-0.5707431483717188,-0.7442656614359849,-0.9067323862600923,0
2004-12-29,0.14840229079151612,0.230179702718045,0.7126076846198881,-0.6046572147013445,-0.7534639846519914,-1.0082473074165372,0
2005-03-11,-0.7035329655631806,-0.14891175636248793,0.6295638002688845,-0.9181401922406096,-1.0459814145512505,-1.1999132723420434,0
2005-05-23,0.5358367815882836,0.11338442526640101,0.666677417855144,-0.7679684940253615,-0.8440100721916476,-0.9938877485631142,0
2005-08-04,-0.8049906042239208,0.17689552019727017,0.6862508961663031,-1.4539632408718344,-0.9271784181099822,-1.0489194014497425,0
2005-10-14,1.050424030883157,-0.058332305198544904,0.7026082816967569,-2.159000837096235,-0.9607653215720773,-1.2790797509352618,0
2005-12-27,-1.022858787736869,0.13479162524260757,0.6828883881654518,-1.8297151364224449,-0.929821341197951,-1.19103307908078,1
2006-03-10,0.9454528245876226,0.13298016641511468,0.6506879014833363,-1.5110841606237437,-0.8447889481706591,-1.0930640286044804,0
2006-05-22,-0.7661079435087537,0.0874956014702041,0.664880503780421,-1.294467563566524,-0.9620277260226755,-1.0770569057071717,0
2006-08-02,0.6736753263141715,0.06434726659143616,0.7453129148921056,-1.0941355913965858,-1.0400927648896539,-1.463065258554634,0
2006-10-12,0.8622145384216573,0.11838912648420269,0.6568331890364235,-1.3527163721752349,-0.8065135021337735,-1.0809107451878208,0
2006-12-22,-0.6161961162537644,0.006185613245594267,0.6442771335365508,-1.0065070437950667,-1.0313160706513302,-1.2834773320014656,0
2007-03-09,0.028452155219937936,0.1858357205955862,0.6559479931554932,-0.4911202909135333,-0.6724691296494438,-0.9536173662121662,0
2007-05-21,-0.052405905987917833,0.1529352068527184,0.5345290479052524,-0.4528426422196344,-0.7588903949803567,-1.0374331258193956,0
2007-08-01,0.4860399579595942,-0.025338781311248764,0.7003873509266699,-0.930090513452037,-1.2391668451369768,-1.457384777984703,0
2007-10-11,-0.4812268744790238,-0.14875612810979916,0.862893031850403,-1.0019506444148445,-1.3623871777718541,-1.8057033035136412,0
2007-12-26,0.21417275379960188,0.19462902827893946,1.0116536705186068,-0.9522633246358942,-1.256969256769065,-1.6437930976615671,0
2008-03-10,-1.3270854644051866,0.0815927303761312,1.1900209882421457,-1.7199131382011021,-1.6266113257820725,-2.0247164986190707,0
2008-05-20,-0.842208543521572,0.2810709680342471,1.3857681576914216,-1.6314004338004224,-1.7467530597081022,-2.2401085741534157,0
2008-07-31,-1.3314714928948312,0.38497882830076063,1.4355766843158917,-2.073152316178024,-1.9394420800462064,-2.4866805296759913,0
2008-10-10,-2.455464326469592,1.4641254781954478,1.5547908702079047,-4.329712090387554,-0.8027217430942839,-1.5397348343482566,1
2008-12-22,-1.2895384195080517,1.6675794427101656,2.153126146810464,-2.3925245418483456,-1.2999390822103924,-1.5757932434878292,0
2009-03-06,0.17416064854387514,0.11059876829076533,2.600559798982407,-1.7795679187189766,-3.858857599020089,-4.369978247644096,0
2009-05-18,2.8011277857948436,0.3573474427086347,2.867686297275012,-2.5075222895563276,-4.062324359488507,-4.546966035738865,0
2009-07-29,-0.2455106637890836,0.13238304041038973,2.612275895772593,-1.860069080699239,-3.819296115219587,-4.3294752244545895,0
2009-10-08,0.7626498521407399,0.21923766426658517,1.76446850991281,-1.4743019303504723,-2.3466676667688313,-2.8052653133718883,0
2009-12-18,0.5645202467642108,-0.039338614727938585,1.3840808235559923,-1.3476987692884514,-2.0182101213866406,-2.388464540770896,0
2010-03-04,0.3022741527400896,0.0794272517627525,1.1252093386572048,-0.9317329832320649,-1.6146389836616009,-1.8497575742970642,0
2010-05-14,-1.8270989078494893,0.24348755963258092,1.0677515220981606,-2.570559668927453,-1.36199211388074,-1.5605947901613906,1
2010-07-27,-0.008952324402411449,-0.16342889938946997,1.2204806167998297,-1.0028289047034564,-2.050095855941707,-2.2552257577109924,0
2010-10-06,-0.008632187148283066,-0.12343151042560155,1.1855537119663844,-0.9934656185944931,-1.880578814688244,-2.132269163556424,0
2010-12-16,0.5785157141762198,0.07649709934091577,1.1582200903420097,-1.1393983152957425,-1.6746236655524516,-1.8889093071617669,0
2011-03-01,-1.6813365735258934,-0.1339996516860821,1.017167654706359,-1.8457633583756827,-1.6421274011142035,-1.8290713651317967,1
2011-05-11,-1.0580510836952328,0.10160828793194268,0.7912649897238612,-1.5710949011268962,-1.0866956725652426,-1.2569337716076914,0
2011-07-22,0.06688916811681267,0.11346673262491148,0.8327893274970432,-0.6907432925136611,-1.2274156878719626,-1.5175407464448547,0
2011-10-03,-2.887076629171137,0.5669053161867,1.0442657780515534,-8.438228490113847,-0.9965874248473693,-1.2974957505842653,1
2011-12-13,-0.9382459857238068,0.2900663397715355,1.4808545365443826,-1.7800823930101903,-1.8474904586451653,-2.118671082246241,0
2012-02-27,0.1677886809976492,0.4222744504241253,1.4926824703278636,-1.2718424446632695,-1.7615189743000859,-2.10786891644524,0
2012-05-08,-0.4019686531842481,0.0662280106151131,1.4521063858769008,-1.3582482271668002,-2.056897117948019,-2.4297421953360474,0
2012-07-19,0.26170773035367745,-0.180277896573964,1.1111935965513848,-1.035360698046981,-1.7706194014279006,-2.1096906867580327,0
2012-09-28,-0.5474020121959633,-0.02142545397097182,0.8591296102387299,-0.9921855593827414,-1.245249356261343,-1.4454852722184637,0
2012-12-12,0.04879471341583397,-0.09810495855166204,0.9063906092611899,-0.7515410730583739,-1.3801201511043337,-1.7925674664702766,0
2013-02-26,0.6822330175164204,0.02975309812262778,0.8813083536357755,-1.1734357086039346,-1.3605524374902007,-1.6119788606371437,0
2013-05-08,0.45406771598193174,0.08753273498696001,0.7263001262464477,-0.7242965513239915,-0.991298491588429,-1.1628314679827898,0
2013-07-19,0.17753256651786842,-0.049680965618242326,0.7489351408280297,-0.6087073183009679,-1.234326636729493,-1.3520550640360227,0
2013-09-30,-0.5342703829686712,0.23619814766796876,0.7404050089043517,-1.2010110297836283,-0.8452809640437965,-1.092567470337053,0
2013-12-10,-0.3589795345213531,0.20027448175909107,0.7013755811274086,-0.931757578398202,-0.8388826470262118,-1.1116423912030882,0
2014-02-24,0.5531487255118428,0.13842920437453665,0.7738305139918812,-0.7893465144393165,-1.022043926360118,-1.2331170186081073,0
