date,r_spy,r_xlf,dlog_vix,dy10,d_credit
2005-01-14,-0.0016899845801239266,-0.011035385943124254,-0.08183572317871546,-0.05999999999999961,0.0
2005-01-21,-0.012424795733112504,-0.006748193985357975,0.1443336096376373,-0.07000000000000028,0.0
2005-01-28,0.0055503400858292196,-0.0006771127235980501,-0.08120400649009385,0.0,0.0
2005-02-04,0.023564167521148427,0.029703646099422443,-0.16643629273470406,-0.07000000000000028,-0.03999999999999915
2005-02-11,0.004481602775666005,0.005247764384531006,0.01943526401925233,0.009999999999999787,0.0
2005-02-18,-0.003151715274197109,-0.025846176689736655,-0.022115009482728265,0.16999999999999993,0.0
2005-02-25,0.008601980533095244,0.005690232818967633,0.027350576917039682,0.0,0.0
2005-03-04,0.010648835854360605,0.007978606850337577,0.03841700088010436,0.05000000000000071,0.03999999999999915
2005-03-11,-0.01925081638745585,-0.017031520744497985,0.06955111300605443,0.23999999999999932,0.0
2005-03-18,-0.0115655032261337,-0.019239978984197492,0.02621585335779475,-0.04999999999999982,0.0
2005-03-25,-0.011880707752203179,-0.030491341948980732,0.02108509804410108,0.08999999999999986,0.0
2005-04-01,0.002472313591542097,-0.003564789710968519,0.04871919951147685,-0.13999999999999968,0.0600000000000005
2005-04-08,0.00484215714982561,0.01136398616942591,-0.11018248869525671,0.040000000000000036,0.0
2005-04-15,-0.033171019483615005,-0.02105407328531994,0.34053911593456476,-0.23000000000000043,0.0
2005-04-22,0.01236296779090118,0.00036064281766146067,-0.1427539924610235,-0.009999999999999787,0.0
2005-04-29,0.00155606913494033,0.024921350288546584,-0.00456173444078356,-0.04999999999999982,0.0
2005-05-06,0.011510592801565522,0.01084136599093899,-0.08588382772241632,0.07000000000000028,0.13999999999999968
2005-05-13,-0.011769624350268515,-0.018252580594360523,0.1497689214812743,-0.16000000000000014,0.0
2005-05-20,0.028958161347145683,0.03549409252465363,-0.2167302916519369,0.009999999999999787,0.0
2005-05-27,0.009441838572134209,0.002731668187346159,-0.07833190079465568,-0.04999999999999982,0.0
2005-06-03,-0.0008321100237234091,-0.001706364814595407,0.0,-0.10000000000000009,0.040000000000000924
2005-06-10,0.0004157687535473187,0.002387890273472859,-0.015761386677839884,0.06999999999999984,0.0
2005-06-17,0.013632466254765774,0.015415007857114915,-0.040961400695496586,0.040000000000000036,0.0
2005-06-24,-0.019806192749729945,-0.010859227404077743,0.059188936320698105,-0.16999999999999993,0.0
2005-07-01,0.004612021274865263,0.006461127655784882,-0.06618196539904098,0.13999999999999968,-0.009999999999999787
2005-07-08,0.01486441897843438,0.012799237083842119,0.004376391403989377,0.05000000000000071,0.0
2005-07-15,0.012450871546834108,0.016266334879612376,-0.10293743759630214,0.0699999999999994,0.0
2005-07-22,0.00568230332695574,-0.007270330396748292,0.01822597507734036,0.05000000000000071,0.0
2005-07-29,0.0016174605845016288,-0.007323929878786384,0.09513726400589295,0.04999999999999982,0.0
2005-08-05,-0.006974545018159084,-0.00973619197622222,0.0757118114323867,0.1200000000000001,-0.020000000000000462
2005-08-12,0.0014641269792861067,0.0023587022260835866,0.020619305916910413,-0.16000000000000014,0.0
2005-08-19,-0.00480590236545364,0.0013454380364050778,0.05199950505021844,-0.03000000000000025,0.0
2005-08-26,-0.0140612875135524,-0.020717322230614066,0.022108504531851647,-0.009999999999999787,0.0
2005-09-02,0.012426949351548089,0.011939202594164033,-0.01099319040270652,-0.16999999999999993,0.03000000000000025
2005-09-09,0.018876896034990764,0.012803488121148288,-0.12462289688112804,0.10999999999999943,0.0
2005-09-16,-0.004619504297892263,0.008483477595272237,-0.06554063058273663,0.1200000000000001,0.0
2005-09-23,-0.01682123060650209,-0.02023707194111557,0.14416976997365882,-0.009999999999999787,0.0
2005-09-30,0.01308921507183669,0.005775368166836881,-0.08365002582986536,0.08999999999999986,0.0
2005-10-07,-0.02827264064227819,-0.01295627661573251,0.2021187049553803,0.009999999999999787,0.04999999999999982
2005-10-14,-0.007890199246415541,-0.0024050402542936666,0.01900937978288697,0.13000000000000078,0.0
2005-10-21,-0.004560980083253341,0.009926368693722765,0.0813350873317975,-0.09000000000000075,0.0
2005-10-28,0.014038339962977986,0.031844736719958355,-0.1239239333931077,0.1900000000000004,0.0
2005-11-04,0.019098427055420863,0.010502061417200892,-0.0788153851664597,0.08000000000000007,0.019999999999999574
2005-11-11,0.01342148080793315,0.03149356976281936,-0.12435354517747887,-0.11000000000000032,0.0
2005-11-18,0.0110093684030943,0.002843227315311392,-0.04484269783973405,-0.04999999999999982,0.0
2005-11-25,0.01585712309304288,0.0233835214961009,-0.021819026584723566,-0.07000000000000028,0.0
2005-12-02,-0.002205145291422461,-0.010532782038957134,0.01187771957686623,0.08999999999999986,-0.019999999999999574
2005-12-09,-0.004107738216752921,-0.006561373002992976,0.059929768065491995,0.020000000000000462,0.0
2005-12-16,0.005524352841549174,0.009003527000744693,-0.09036087748206167,-0.08999999999999986,0.0
2005-12-23,0.0031605127416227674,0.00654474612329059,-0.039145793593195144,-0.07000000000000028,0.0
2005-12-30,-0.01790923742347683,-0.016285714129240958,0.16149594131224898,0.009999999999999787,0.0
2006-01-06,0.03107577696330388,0.024946693432403855,-0.092827737027243,-0.009999999999999787,0.0
2006-01-13,0.001866874287776099,0.0015390053979182916,0.02069345518940935,-0.019999999999999574,0.0
2006-01-20,-0.021284968580953745,-0.037598799144381356,0.2596893436005878,0.009999999999999787,0.0
2006-01-27,0.020196439495308027,0.026777425028094548,-0.19587452971031505,0.14999999999999947,0.0
