date,lambda
2002-01-07,0.46734078413221947
2002-01-08,0.40437917362803977
2002-01-09,1.3181175957679452
2002-01-10,0.7811779235087669
2002-01-11,0.653844285238201
2002-01-14,0.19765136611421352
2002-01-15,1.1207759730110762
2002-01-16,0.5228625837818308
2002-01-17,0.287627334125066
2002-01-18,0.252189735671623
2002-01-22,0.24067483803633063
2002-01-23,0.322350577443426
2002-01-24,0.5983895305653972
2002-01-25,1.2174538348197115
2002-01-28,0.8606039550688508
2002-01-29,0.3058126249319619
2002-01-30,0.39558364335936064
2002-01-31,0.8982794125917685
2002-02-01,0.4829178926537634
2002-02-04,0.26819381588161895
2002-02-05,0.5994743389814566
2002-02-06,1.7965981472114747
2002-02-07,0.887526671204071
2002-02-08,0.9346539653810575
2002-02-11,0.42497326891987547
2002-02-12,1.4660775694506938
2002-02-13,0.8130678828800428
2002-02-14,1.0717458793157297
2002-02-15,0.2678421672226456
2002-02-19,0.49666239951143143
2002-02-20,0.6830041514869433
2002-02-21,0.23897941809036644
2002-02-22,1.7202852292268538
2002-02-25,0.27212798940607946
2002-02-26,1.3072990544587426
2002-02-27,0.2593307224890406
2002-02-28,0.5112372898075606
2002-03-01,0.2617593711066868
2002-03-04,0.27527022702879966
2002-03-05,0.36176915611657756
2002-03-06,1.441907457152051
2002-03-07,0.9087292395780364
2002-03-08,0.2811749729809936
2002-03-11,0.6795029731009559
2002-03-12,0.6722238936057258
2002-03-13,0.5091631239672904
2002-03-14,1.2618200163028688
2002-03-15,1.3584582240866794
2002-03-18,0.9225487987725199
2002-03-19,0.7943097669955701
2002-03-20,0.3613983556548781
2002-03-21,0.11392843557513106
2002-03-22,0.5059745431524469
2002-03-25,0.40870552343431943
2002-03-26,1.6372097723011851
2002-03-27,0.8667667303739885
2002-03-28,0.8183655939418331
2002-04-01,0.4373136330334023
2002-04-02,0.13405909547412612
2002-04-03,0.7836896378174313
2002-04-04,0.435745482291166
2002-04-05,0.781242702380546
2002-04-08,0.6715188348372869
2002-04-09,0.3299756454017131
2002-04-10,0.5942921775059884
2002-04-11,0.47242284348952907
2002-04-12,0.6222351177375463
2002-04-15,0.48969286851081484
2002-04-16,0.5522910615179735
2002-04-17,0.4121774458424284
2002-04-18,0.4921626432252837
2002-04-19,1.1647757116513502
2002-04-22,0.5725445063758932
2002-04-23,0.837234062263472
2002-04-24,0.22483357918561078
2002-04-25,1.090294737705122
2002-04-26,0.3491361774688124
2002-04-29,1.0667559267384286
2002-04-30,0.9724515348999604
2002-05-01,0.4446386759399592
2002-05-02,0.1593018120640902
2002-05-03,0.5832660048056345
2002-05-06,0.5381908517978666
2002-05-07,0.9445942453511621
2002-05-08,0.06148762503164618
2002-05-09,0.2584464531434348
2002-05-10,0.13828231351383083
2002-05-13,0.632707408153973
2002-05-14,0.09951670210303362
2002-05-15,0.5988300786690136
2002-05-16,0.4264185693021767
2002-05-17,1.0464687490179683
2002-05-20,1.2343492643116976
2002-05-21,0.5019762844427553
2002-05-22,1.3432600984889596
2002-05-23,0.8238768845556065
2002-05-24,0.9096017112273903
2002-05-28,0.4079466523499612
2002-05-29,0.4321763184535531
2002-05-30,1.1128610219030106
2002-05-31,0.43717202517532294
2002-06-03,0.923045121191655
2002-06-04,0.4905869458790816
2002-06-05,0.9419350851340959
2002-06-06,0.9407749614452179
2002-06-07,0.27801717132405673
2002-06-10,0.32006828124359965
2002-06-11,0.5794860695849807
2002-06-12,0.5381998039974272
2002-06-13,1.3049717589973926
2002-06-14,2.266327892600161
2002-06-17,0.4489314738268159
2002-06-18,0.5303436240241056
2002-06-19,0.15826569893402367
2002-06-20,0.39856669501437314
2002-06-21,0.2883475448535864
2002-06-24,0.4268288098680719
2002-06-25,0.3608990828615086
2002-06-26,1.4663566783226534
2002-06-27,0.4029939890740589
2002-06-28,1.1410674712244535
2002-07-01,0.2187723842448786
2002-07-02,0.4375345560938917
2002-07-03,0.28712688034447703
2002-07-05,0.10330340484988577
2002-07-08,0.24100640488274716
2002-07-09,0.60234302435029
2002-07-10,0.08522924460439174
2002-07-11,0.2939904770254585
2002-07-12,0.8828419277373949
2002-07-15,0.24066767455868818
2002-07-16,0.2454466201556776
2002-07-17,0.35559289181950826
2002-07-18,0.15540719700202174
2002-07-19,0.11298052713306042
2002-07-22,0.2097883020684761
2002-07-23,0.21948477918573892
