date,SPY,QQQ,DIA,IWN
2002-01-07,-0.7175477607944725,-1.1124292682982924,-0.610882403864803,-1.0815660585665667
2002-01-08,-0.3280322547087339,0.5520858462471396,-0.5424574326652762,0.6835991045172505
2002-01-09,-0.9686766514150097,-1.0706272943306987,-0.6721360566036662,-0.48541760235573683
2002-01-10,0.35998335278967897,0.5717283155153848,-0.31114923148788604,0.04343279258214021
2002-01-11,-1.0955495342576722,-1.44305700483138,-0.907732373947155,-1.1180156108187724
2002-01-14,-0.728719396988003,-2.330098374167091,-1.0497669569757657,-1.5869109376271782
2002-01-15,0.700583345909076,0.7522519846681774,0.21009293324884368,0.9996924300268735
2002-01-16,-2.131998918702861,-4.107904190475151,-2.2288774038961803,-1.6047644465029989
2002-01-17,0.5908239925696068,1.9881592274446456,1.2309723909783272,1.5327433175025018
2002-01-18,-0.4669890322974532,-2.7252993351882178,-0.709883813514151,-1.6208729658437564
2002-01-22,-0.7623809304139026,-3.270010321076926,-0.7066591914184829,-0.47876132097987156
2002-01-23,0.6723735223682019,2.494003963944016,0.0895729323694632,0.6890202494938962
2002-01-24,0.1913470292259626,1.1658309787610266,0.5884076049427072,0.5802970820902871
2002-01-25,-0.054920014717417184,-0.2720235361352697,0.4585712830665376,0.13788771746735068
2002-01-28,0.23838930971913286,0.5386687863120263,0.2577535971638087,0.8384095158523628
2002-01-29,-3.278533630712157,-2.8732110920752154,-2.5957906158179025,-1.2839510204253521
2002-01-30,1.2031023479878749,0.5878000176142922,1.315958320303611,1.0926757015409976
2002-01-31,1.2041723035012868,0.6119802211078039,1.6784546578890087,0.13198259818617905
2002-02-01,-0.4188059467560729,-0.9692424058686114,-0.059921733970590974,0.32444993901164926
2002-02-04,-2.6243638570637833,-3.3718677103755375,-2.331533450512014,-1.9046273293632912
2002-02-05,-0.8126671561871882,-1.87201076420905,-0.1834253272039174,-0.11011702786598243
2002-02-06,-0.48293753707913994,-0.7869543225581705,-0.3268513145505875,-0.999334115085058
2002-02-07,-0.7129131314368294,-2.5652277580565186,-0.3494033987730346,-0.8046815730299883
2002-02-08,1.8321140083309835,2.615755208849794,1.1735592314586505,1.653967843963464
2002-02-11,1.1695763645173016,1.1475840644929647,1.4024587384297589,0.6927987677441412
2002-02-12,-0.2763928193477722,-0.8124752645509096,-0.16278578431285937,0.1172595487809084
2002-02-13,0.9629914544986501,1.5764792803959875,1.1846121792423685,0.46401752232250226
2002-02-14,-0.183611426633626,-0.20830412820612262,0.16875069964364553,-0.2883279842742019
2002-02-15,-1.1187153738882594,-3.0904702389120335,-1.0416595405465656,-0.15073975369163467
2002-02-19,-2.0623398535334205,-3.306609692746992,-1.7289641089568926,-1.5251763452043878
2002-02-20,1.5325977745391208,1.140705435116482,1.8868989184132943,1.6534674663655573
2002-02-21,-2.044363256639807,-4.88302893010665,-0.9755203562440093,-1.9123850178765436
2002-02-22,1.1616955478720123,0.3852941373990954,1.2877043907328949,1.6905418861061323
2002-02-25,1.615275157326673,3.852857711835507,1.7911553845791666,0.5215680019819687
2002-02-26,-0.19046609331235773,-0.3391516123973957,-0.23740714145081,0.4305821862536991
2002-02-27,0.26787770684975776,-1.4773050013602969,0.0009884198625448731,0.4373246542292686
2002-02-28,-0.48453883369114487,-1.954441630776806,-0.2569873504881415,-0.8599473598130383
2002-03-01,2.2578672937006163,5.498679978715632,2.5323640397653495,1.902414990668929
2002-03-04,1.7647777473427393,3.9234311093506955,2.1805782612564206,1.3720777342291897
2002-03-05,-0.2979043338176538,0.8490682288834138,-1.4024209659714668,0.03509305507213997
2002-03-06,0.9581474911714086,0.2876531647811449,1.0883214253477116,1.4974599223498775
2002-03-07,-0.17010590948586424,0.19598327330462725,-0.3969628723366307,0.3545004736036047
2002-03-08,0.3031287644980294,2.4528328877443486,0.34110277597112065,0.26236907992076886
2002-03-11,0.18656369857369004,-0.3939584851046148,0.348090930712042,0.09795968383336927
2002-03-12,-0.1390900280472294,-1.4243269033966266,0.1689214693512857,-0.04341234272411434
2002-03-13,-1.0107791550165064,-2.5543903278195605,-1.2607760001754957,-0.6269583428795207
2002-03-14,-0.2816282664911168,-0.8223713744819756,-0.002745936058938081,0.3862070987456495
2002-03-15,0.8965355485462194,0.8841433616215147,0.8428094508354551,0.1866878689946957
2002-03-18,0.0026331484676349673,0.5022883839900002,-0.27400006666908217,0.4700101858174609
2002-03-19,0.5415703052713814,-0.2959040304399335,0.428176329460124,0.5766528767523686
2002-03-20,-1.9174481361011806,-3.673338531589358,-1.2778960402202564,-0.9845396084633207
2002-03-21,-0.06883256073613592,2.4650043912124637,-0.2983080853315022,0.931959268317687
2002-03-22,-0.37457873533038516,-1.0524924111646823,-0.5854099979861032,-0.7764070405738885
2002-03-25,-1.3158122937256456,-3.1838885009878077,-1.4860034706738559,-1.085430379175078
2002-03-26,0.44155447606685383,0.6963804019231187,0.5492173113208942,0.8848586727183264
2002-03-27,0.2189191476099361,-0.8820413721235274,0.7143362067066361,1.344370688005305
2002-03-28,-0.05641385353261437,1.208910294229411,-0.2081670183202771,-0.9150307300508803
2002-04-01,-0.05028413885715256,1.7939825187377345,-0.4636407230648995,0.2198360341044006
2002-04-02,-0.7073705351617401,-4.733528798689751,-0.6040906847443496,-0.42757436649658126
2002-04-03,-0.6786270601714812,-0.30814928683406884,-1.1795550246004152,-0.4961418385212744
2002-04-04,-0.6298574755110392,-1.0340194728467913,0.21674845002621504,-0.18849907186125633
2002-04-05,-0.001533253181530126,-1.1536686807698646,0.39117612859645784,0.5506453875218176
2002-04-08,0.16615052178849787,1.1582307705322628,-0.23984583976100662,1.1649536521801513
2002-04-09,-0.8343873205913476,-3.690669866355377,-0.5013822919476711,0.32144227290091953
2002-04-10,1.097996137437461,0.6273886384732191,1.6473780012053336,1.7316226137580721
