,intercept,SPY_lag1,QQQ_lag1,DIA_lag1,IWN_lag1,SPY_lag2,QQQ_lag2,DIA_lag2,IWN_lag2
SPY,0.07966913371666359,-0.031061342781181736,0.0244349546985126,-0.08254510026784613,0.03000490457800566,-0.07240712247718369,0.022580476704125444,0.03378140435994766,-0.0063447089423453356
QQQ,0.10182724398237682,0.044198821443986465,-0.013851873739214789,-0.10105656640923102,0.028380247592969955,-0.00977277423257546,-0.006091610343286754,-0.019142945024642487,0.001938305176953744
DIA,0.05894969485975948,0.05872609989750168,0.0033441489133424402,-0.14608252189845666,0.018695326686914124,-0.030039950871011106,0.012984405411293316,0.009533663157067888,-0.006624105028904005
IWN,0.061573299445844984,0.09516219121116075,-0.005968138810598032,-0.12450754186481956,-0.019043980813633545,0.04494585344394026,-0.0096590212028523,0.007978356733659365,-0.0492226490328814
