,SPY,QQQ,DIA,IWN
SPY,0.989330835900878,0.8766330490599121,0.9268166385247364,0.8296974633877694
QQQ,0.8766330490599121,0.9901491875606837,0.8257522781358104,0.7315213712603301
DIA,0.9268166385247364,0.8257522781358104,0.986168329801949,0.8402705740833913
IWN,0.8296974633877694,0.7315213712603301,0.8402705740833913,0.9904330895321826
