,SPY,QQQ,DIA,IWN
SPY,7.764374183771373,7.424894894335343,6.649899238925583,7.526151654327439
QQQ,7.424894894335343,9.256095618859815,6.69853845079213,7.313989462863575
DIA,6.649899238925583,6.69853845079213,6.54339199526213,7.247771153675292
IWN,7.526151654327439,7.313989462863575,7.247771153675292,10.313466281937393
