,intercept,SPY_lag1,QQQ_lag1,DIA_lag1,IWN_lag1,SPY_lag2,QQQ_lag2,DIA_lag2,IWN_lag2
SPY,0.08683206808361556,-0.023984060888094315,0.0003842076342698317,-0.05934037728616502,0.024440317252204954,-0.03398778557413253,-0.00780568905927083,0.03871809632805535,-0.00901953366223879
QQQ,0.11499410923579055,0.048588802505397904,-0.010020918165707816,-0.08759887801533452,0.002346994291655228,0.03987692702814164,-0.03808710066224076,-0.013876195653439852,0.002672988757953303
DIA,0.06515804503001095,0.043715402063788725,-0.021484764389600015,-0.08969356691783288,0.02056167487789588,0.024484004968809116,-0.022564539113890864,0.015620253438764822,-0.015987520681654228
IWN,0.06523748830385906,0.05039259053105199,-0.01072239090314295,-0.09236295592965747,-0.00015615724706431408,0.0751572518012365,-0.03786463283875227,0.0028081548057908553,-0.03793282744639077
