,intercept,SPY_lag1,QQQ_lag1,DIA_lag1,IWN_lag1,SPY_lag2,QQQ_lag2,DIA_lag2,IWN_lag2
SPY,0.07702678317007826,-0.0362672593568405,0.025382980242996005,-0.06901383193201518,0.016002677514802284,0.006037665349733052,-0.006218262876212995,0.01824695402227538,-0.019255931884952473
QQQ,0.0994296253763501,0.016681845661003215,-0.000959744662067318,-0.08595375384075236,0.014640494237007461,0.04672404582457511,-0.027905385622324388,-0.014641221850837249,-0.011206478312691823
DIA,0.05736309534691884,0.03504029017792719,0.007763227262471141,-0.12068056218555823,0.010283462529998118,0.015040325734704065,-0.005910377430981642,0.012600689899214482,-0.016623379338834145
IWN,0.06708438123464534,0.049675583938721984,0.0005938131005194507,-0.09003060076712054,-0.02116039149617737,0.07447692269935792,-0.022672872441015943,0.021997292892320688,-0.058402513358397794
