,intercept,SPY_lag1,QQQ_lag1,DIA_lag1,IWN_lag1,SPY_lag2,QQQ_lag2,DIA_lag2,IWN_lag2
SPY,-0.0002199812355364524,-0.1029961018799169,0.0746284038154502,-0.10850464902900847,0.06246410392762649,-0.1585642575025506,0.04406797400711699,0.09744067533367622,0.019717334454692936
QQQ,-0.0004230770118579633,-0.05763868278627948,0.0472436361360486,-0.11506195759916946,0.04011400555904136,-0.059212035399415656,-0.0136754445289875,0.034462487773238376,0.02602671105333615
DIA,-0.00024772546265630727,-0.04545248439835715,0.06405222019482622,-0.1682440332497175,0.05770487867909255,-0.13982604019381925,0.03286134806977581,0.09074788244283072,0.024241688925821205
IWN,-0.00021834666588925193,-0.021679279101421364,0.027316986163387014,-0.09000239319911374,-0.004356770594305811,-0.08415867508205499,0.012046737001703596,0.11931301184227189,-0.023014588204899662
